mere cueillir-palmes-en-foret
fils suivre
fils violer
pere decouvrir-forfait
pere vouloir-vengeance
pere demander-grand-hochet
grand-mere conseiller-aide-oiseau_mouche
oiseau_mouche ramener gran-hochet
pere demander-petit-hochet
fils ramerner-grace-colombe
pere demander-grandes sonnailes
fils ramener-grace-grande-sauterelle
pere demander-aras-sommet-falaise
pere placer-perche
pere demander-grimper
pere retirer-perche
fils prisonnier-sommet-falaise
fils manger-lezards
fils acrrocher-lezards-ceinture
fils etre-empoisonner-par-lezards
fils avoir-arriere-train-devore-par-vautours
fils etre-sauve-par vautours
fils manger-fruits
fils ne-pas-pouvoir-retenir-nourriture
fils maigrir
fils fabriquer-anus-artificiel
fils deguiser-oiseau
fils retourner-vers-grand-mere
village etre-noye-par-eau
grand-pere posseder-feu
pere accueillir-fils
fils vouloir-vengeance
fils transformer-en-cerf
fils precipiter-pere-dans-lac
fils tuer-toutes-les-femmes-du pere
