1-U-Lurcu stava-vicinu-a-Casta
2-U-Lurcu era-un-pastore-giante-ciclopu
3-U-Lurcu stava-incu-a-so-mama
4-U-Lurcu stava-in-a-casa-di-l-Orcu 
5-A-Mamma sta-vivinu-in-a-casa-di-l-orca
6-U-Lurcu era-sapientone
7-I-paisani avianu-peura
8-I-paisani hanu-fattu-una-trapula
9-U-Lurcu venia-a-spessu-a-beie-sottu-A-Pivanosa
10-I-paisani hanu-fabricatu-un-paghju-di-botte
11-I-paisani hanu-empiutu-e-botte-di-pece
12-U-Lurcu ha-pruvate-e-botte
13-U-Lurcu fu-chjappattu
14-I-paisani vulianu-a-tumbalu
15-U-Lurcu ha-palisatu-u-sicretu-diu-brocciu
16-U-Lurcu devia-palisa-cummu-fa-a-cera-incu-u-seru
17-A-Mamma ha-strittatu-un-palisa-chi-tantu-si-mortu
18-I-paisani hanu-tombu-u-Lurcu-e-a-mamma
19-U-Lurcu fu-interratu-a-a-Bocca-Pivanosa
20-A-Mamma fu-interrata-piu-luntanu
