<< value = [0.000624512099921936, 0, 0]; time = 19>>
<< value = [0.004049097442622951, 0, 0]; time = 270>>
<< value = [0.046795480285741015, 0, 0]; time = 642>>
<< value = [0.06308135117171154, 0, 0]; time = 739>>
<< value = [0.280906372683579, 0, 0]; time = 2312>>
<< value = [0.2926399506889899, 0, 0]; time = 2617>>
<< value = [0.29986621032068195, 0, 0]; time = 2766>>
<< value = [0.3023172045000693, 0, 0]; time = 2817>>
<< value = [0.306478337011694, 0, 0]; time = 2933>>
<< value = [0.3077797001552624, 0, 0]; time = 2990>>
<< value = [0.31229706516354494, 0, 0]; time = 3110>>
<< value = [0.3244786019055979, 0, 0]; time = 3523>>
<< value = [0.32515900416240145, 0, 0]; time = 3571>>
<< value = [0.3393346973407484, 0, 0]; time = 4485>>
<< value = [0.33982262973430194, 0, 0]; time = 4545>>
<< value = [0.33999548680484115, 0, 0]; time = 4559>>
<< value = [0.3427592534973967, 0, 0]; time = 4903>>
<< value = [0.34290006566869985, 0, 0]; time = 4930>>
<< value = [0.3431807679455028, 0, 0]; time = 4996>>
<< value = [0.34622973791946343, 0, 0]; time = 5903>>
<< value = [0.3470421246849378, 0, 0]; time = 7018>>
<< value = [0.34737418541535253, 0, 0]; time = 7884>>
<< value = [0.34737447778299196, 0, 0]; time = 7893>>
<< value = [0.3474038319152066, 0, 0]; time = 8131>>
<< value = [0.3474142704106568, 0, 0]; time = 8375>>
<< value = [0.3475774784739465, 0, 0]; time = 8870>>
<< value = [0.347577872584875, 0, 0]; time = 8979>>
<< value = [0.3475859651384573, 0, 0]; time = 9281>>
<< value = [0.3475949381374787, 0, 0]; time = 9963>>
<< value = [0.3475964825897195, 0, 0]; time = 10138>>
<< value = [0.347596482590233, 0, 0]; time = 10141>>
<< value = [0.347597499712512, 0, 0]; time = 10643>>
<< value = [0.34759756992950397, 0, 0]; time = 10718>>
<< value = [0.3475976991323394, 0, 0]; time = 10900>>
<< value = [0.34759854798654627, 0, 0]; time = 11933>>
<< value = [0.3475985547465749, 0, 0]; time = 11975>>
<< value = [0.3475985710362258, 0, 0]; time = 12372>>
<< value = [0.34759866843606346, 0, 0]; time = 13219>>
<< value = [0.3475986711024092, 0, 0]; time = 13362>>
<< value = [0.3475986715872864, 0, 0]; time = 13487>>
