homme demander-aras-sommet-falaise 
Beau-frere accompagner 
Homme placer-perche 
Beau-frere grimper 
Beau-frere prisonnier-sommet-falaise 
Jaguar aider-descendre 
Jaguar amener-riviere-boire 
Beau-frere ne-pas-boire-car-eau-urubus 
Jaguar amener-ruisseau-suivant 
Beau-frere ne-pas-boire-car-eau-petits-oiseaux 
Jaguar amener-3eme-ruisseau 
Beau-frere boire-sans-laisser-eau-crocodile 
Femme-jaguar recevoir-mal 
Beau-frere le-dire 
jaguar donner-viande-rotie 
Jaguar donner-arc 
Beau-frere blesser-pate 
Beau-frere s-enfuir 
Femme-jaguar ne-pas-suivre 
Villageois chercher-feu 
Villageois prendre-braise-par-course-relai 
