homme demander-aras-sommet-falaise 
Beau-frere accompagner 
homme placer-perche 
homme demander-grimper 
homme retirer-perche 
Beau-frere prisonnier-sommet-falaise 
Beau-frere maigrir 
Beau-frere manger-excrements 
Jaguar porter-cochon-sauvage-sur-dos 
Beau-frere monter-sur-cochon-sauvage 
Jaguar aider-descendre 
Jaguar donner-viande-grillee 
Femme-Jaguar ne-pas-aimer 
Jaguar donner-arc 
Femme-Jaguar donner-vielle-viande 
Beau-frere tuer 
Beau-frere s-enfuir 
Beau-frere avoir-viande 
Indiens voler-feu 
Tapir porter-tronc 
oiseau-yao eteindre-braises 
cerf porter-viande 
pecari prendre-coton 
